task_id,stage,title,status,evidence,notes
PRE0,前置,新电脑只读基线核对,NOT_STARTED,,迁移核验不等于新电脑PRE0完成
SA01,M0,隔离现有测试及副作用,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA02,M0,最小报告契约及后端拒绝动作,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA03,M0,API 和页面同步拒绝，关闭遗留绕行,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA04,M0,可移植安全启动和依赖入口,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA05,M1,行情适配与来源契约,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA06,M1,交易日历和数据质量,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA07,M1,不可变快照存储原语,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA08,M1,快照接入真实取数链,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA09,M1,历史股票池与证券状态,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA10,M2,v1 报告/配置契约及原子更新,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA11,M2,报告存储与版本恢复,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA12,M2,一个简单基线和事实分析,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA13,M2,单股真实纵向闭环,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA14,M3,冻结研究协议与时间隔离,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA15,M3,隔离研究框架与快照适配,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA16,M3,A 股执行约束与费用,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA17,M3,独立黄金账本与失败成交,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA18,M3,评价指标及统计口径,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA19,M3,实验注册与策略生命周期,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA20,M3,真实滚动样本外基线实验,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA21,M4,真实模型样本接口,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA22,M4,模型生命周期和设备所有权,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA23,M4,Windows 独立工作进程及有界队列,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA24,M4,取消、超时、崩溃后的提交边界,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA25,M4,异步 API 与任务页面,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA26,M4,事件概率及区间评价/校准,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA27,M4,Kronos 增量对照和去留结论,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA28,M5,持仓快照和风险约束后端,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA29,M5,持仓导入预览和确认界面,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA30,M5,资格判断与动作否决,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA31,M5,解释、风险覆盖和失效条件展示,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA32,M5,不可回写的前瞻决策账本,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA33,M5,单次收盘后批处理与断点恢复,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA34,M5,期后结算、漂移与资格暂停,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA35,M5,备份恢复与安全升级演练,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
SA36,M5,操作说明与最终工程交付核对,NOT_STARTED,,按执行计划的条件依赖与分项验收派发
R01,真实前瞻,当日收盘后采集,NOT_STARTED,,不得用回放代替真实时间观察
R02,真实前瞻,到期样本结算,NOT_STARTED,,不得用回放代替真实时间观察
R03,真实前瞻,策略资格复核与正式开放验证,NOT_STARTED,,不得用回放代替真实时间观察
